Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	1000.0	3999	7.6974926	3.990087	15.5586195	-2.349178	7.6966577	3.991682	15.692526	-2.6230357	-5.448471	0.4116321	25.443249	-11.201168	-8.765904	0.04687095	2711.4257805347443
2	0.0	0.0	0.0	0.0	1000.0	7999	22.959875	4.7273297	32.440857	13.26096	22.959866	4.7273865	32.269253	13.250839	-5.468197	0.33346415	-3.8797922	-10.57829	-24.035517	0.029415524	3083.642817258835
3	0.0	0.0	0.0	0.0	1000.0	11999	37.737625	4.0801477	45.981915	27.400211	37.73762	4.0802207	46.145443	27.408642	-5.468192	0.3322766	-4.3740835	-11.428459	-38.81182	0.03214374	3452.7838146686554
4	0.0	0.0	0.0	0.0	1000.0	15999	50.390156	3.4255087	57.488766	41.86006	50.390144	3.4255807	57.456047	41.813564	-5.4675384	0.33423918	-2.461813	-11.496658	-51.466133	0.03589689	3828.997323036194
5	0.0	0.0	0.0	0.0	1000.0	19999	60.621765	2.9905498	67.49288	51.255844	60.62174	2.9905815	67.45881	51.31459	-5.468124	0.33450183	-3.9075341	-12.880957	-61.694458	0.04089395	4214.055639028549
6	0.0	0.0	0.0	0.0	1000.0	23999	69.257286	2.417851	74.95733	61.254723	69.25732	2.4177182	75.12373	61.407665	-5.4666624	0.33510962	-3.4928708	-11.896853	-70.32234	0.046042908	4624.216889858246
7	0.0	0.0	0.0	0.0	1000.0	27999	76.18319	2.1240084	82.34353	69.67498	76.1832	2.123969	82.340355	69.70693	-5.467735	0.3344277	-4.248905	-11.378941	-77.2498	0.04748078	4999.977281808853
8	0.0	0.0	0.0	0.0	1000.0	31999	82.00874	1.7573731	87.34707	76.543755	82.00876	1.7576282	87.42941	76.56021	-5.468543	0.3346629	-4.354354	-11.104019	-83.08299	0.051199425	5392.198191642761
9	0.0	0.0	0.0	0.0	1000.0	35999	86.74473	1.5751952	92.76317	81.14255	86.74475	1.5750651	92.69274	81.19036	-5.467427	0.33290717	-4.2810917	-11.307489	-87.80007	0.050765164	5784.033140897751
10	0.0	0.0	0.0	0.0	1000.0	39999	90.67256	1.3651574	95.98903	85.91988	90.67256	1.36527	95.989655	85.80003	-5.468147	0.33317763	-4.267294	-11.3168335	-91.74029	0.052014846	6546.323396205902
11	0.0	0.0	0.0	0.0	1000.0	43999	93.81074	1.2132145	98.83525	89.536446	93.81074	1.213556	98.99819	89.4884	-5.467535	0.33169454	-4.367363	-13.001976	-94.88677	0.05513575	7282.862421751022
12	0.0	0.0	0.0	0.0	1000.0	47999	96.43615	1.0540574	100.8564	92.52153	96.43616	1.0544252	100.67376	92.57169	-5.468165	0.33219728	-4.3304806	-10.887392	-97.498825	0.05410727	8082.044252872467
13	0.0	0.0	0.0	0.0	1000.0	51999	98.5056	0.9502604	102.40427	94.696434	98.50558	0.95088273	102.60973	94.81619	-5.4689746	0.3335331	-4.3310347	-10.617811	-99.56284	0.054083098	8754.940675258636
14	0.0	0.0	0.0	0.0	1000.0	55999	100.23102	0.8630192	103.91623	96.65902	100.23102	0.86286086	103.844574	96.68423	-5.467656	0.3328211	-3.7602139	-11.135579	-101.28431	0.056736555	9282.144449234009
15	0.0	0.0	0.0	0.0	1000.0	59999	101.68484	0.7931768	105.231606	98.40231	101.68485	0.7921252	105.0977	98.35984	-5.468122	0.33480445	-4.350775	-11.120159	-102.73399	0.054854788	17544.15109348297
16	0.0	0.0	0.0	0.0	1000.0	63999	102.87047	0.7486468	106.56916	100.01136	102.87047	0.74949646	106.57082	99.83458	-5.4682794	0.33298135	-4.3164587	-10.166206	-103.93743	0.051249053	37861.51828074455
17	0.0	0.0	0.0	0.0	1000.0	67999	103.80066	0.70360637	107.18416	100.87347	103.80066	0.70402485	107.141716	100.92922	-5.4687486	0.3333741	-4.319172	-11.822928	-104.85188	0.055781633	52704.33166503906
18	0.0	0.0	0.0	0.0	1000.0	71999	104.5643	0.66242296	107.77713	101.682465	104.56432	0.66337854	107.842865	101.629105	-5.4684496	0.33398739	-4.334981	-12.739907	-105.605	0.053339265	70989.48202085495
